scorer,DLC_resnet50_Single_larva_tracking_modelFeb26shuffle1_200000,DLC_resnet50_Single_larva_tracking_modelFeb26shuffle1_200000,DLC_resnet50_Single_larva_tracking_modelFeb26shuffle1_200000,DLC_resnet50_Single_larva_tracking_modelFeb26shuffle1_200000,DLC_resnet50_Single_larva_tracking_modelFeb26shuffle1_200000,DLC_resnet50_Single_larva_tracking_modelFeb26shuffle1_200000,DLC_resnet50_Single_larva_tracking_modelFeb26shuffle1_200000,DLC_resnet50_Single_larva_tracking_modelFeb26shuffle1_200000,DLC_resnet50_Single_larva_tracking_modelFeb26shuffle1_200000
bodyparts,Head,Head,Head,Mid,Mid,Mid,Tail,Tail,Tail
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood
99,125.92887878417969,407.41864013671875,0.7866474390029907,144.32888793945312,415.360107421875,0.5937527418136597,165.45730590820312,416.0880126953125,0.2010401338338852
100,125.92887878417969,407.41864013671875,0.9287264943122864,143.2024383544922,415.31988525390625,0.6647151112556458,163.97470092773438,416.0865173339844,0.3909047245979309
101,124.76367950439453,406.61962890625,0.37212318181991577,142.72885131835938,415.31988525390625,0.04726353660225868,160.87049865722656,413.5825500488281,0.03134928271174431
102,124.28435516357422,406.200439453125,0.537523627281189,142.72142028808594,415.31988525390625,0.06903231889009476,160.05679321289062,413.5825500488281,0.03733723983168602
103,124.28435516357422,406.200439453125,0.08145422488451004,142.36474609375,415.31988525390625,0.012338662520051003,123.25179290771484,407.400390625,0.009063166566193104
104,124.76367950439453,406.563720703125,0.2363588958978653,141.81944274902344,415.1350402832031,0.027231428772211075,123.21588897705078,407.400390625,0.02356775291264057
105,124.77677917480469,406.563720703125,0.1535450518131256,141.81944274902344,415.1350402832031,0.01645183376967907,123.21588897705078,407.7369079589844,0.040446531027555466
106,124.82953643798828,406.74365234375,0.12283390015363693,141.81944274902344,415.1350402832031,0.01497645303606987,123.21588897705078,408.485595703125,0.01725776307284832
107,124.85896301269531,407.09820556640625,0.013874140568077564,141.81944274902344,414.0180358886719,0.0029458096250891685,123.21588897705078,408.485595703125,0.009464499540627003
108,124.85896301269531,407.09820556640625,0.0017354912124574184,141.66844177246094,414.0180358886719,0.0005027170991525054,123.21588897705078,409.1767578125,0.0029694538097828627
109,124.95166015625,407.09820556640625,0.0005721934139728546,139.06826782226562,403.3382873535156,0.0001892444270197302,123.20729064941406,409.50018310546875,0.000907949754036963
110,124.95166015625,406.90301513671875,0.0002667928347364068,139.06826782226562,403.15753173828125,6.337522063404322e-05,122.88909149169922,409.666748046875,0.00034895207500085235
111,124.95166015625,406.90301513671875,0.000341907114489004,139.06826782226562,403.15753173828125,0.00011726927186828107,122.77523040771484,409.666748046875,0.0006309313466772437
112,125.08792114257812,406.626953125,0.00047287699999287724,139.061279296875,403.12164306640625,0.00016964675160124898,120.74960327148438,412.081298828125,0.0007542496896348894
